,hotel_id,breakfast,wifi,carpark,airport,restaurant,deposit_box,baby,bar,laundry,tour,spa,pool
0,71,-1,0,0,0,0,0,0,0,0,0,0,0
1,77,-1,1,0,0,1,1,0,1,1,0,0,0
2,123,-1,1,0,1,1,1,0,0,1,1,1,1
3,143,-1,1,0,1,1,1,1,1,1,1,1,1
4,206,-1,0,0,1,1,0,0,1,1,1,0,1
5,245,-1,1,0,1,1,0,0,0,1,1,0,1
6,262,-1,0,0,1,0,0,0,0,1,1,0,0
7,331,-1,0,0,1,0,0,1,1,1,1,1,0
8,343,-1,0,0,1,1,0,0,0,0,0,0,0
9,416,-1,1,0,1,1,1,0,1,1,1,1,1
10,417,-1,0,0,0,0,0,0,0,1,0,0,0
11,446,-1,1,0,1,1,0,0,1,1,1,1,0
12,447,-1,1,0,1,1,1,0,1,1,1,1,1
13,462,-1,1,0,1,1,1,1,1,1,1,1,0
14,662,-1,0,0,1,0,0,1,1,1,1,1,0
15,695,-1,0,0,1,0,0,1,1,1,1,1,0
16,707,-1,1,0,1,1,1,0,1,1,1,0,1
17,765,-1,1,0,0,1,0,0,0,1,1,0,0
18,769,-1,1,0,1,1,1,0,1,1,1,0,0
19,953,-1,1,0,1,0,0,0,0,1,1,0,0
20,959,-1,0,0,0,0,0,0,0,0,0,0,0
21,1087,-1,0,0,0,1,1,0,1,1,1,1,1
22,1106,-1,0,0,1,1,1,1,1,1,1,1,1
23,1262,-1,0,0,1,1,1,0,1,1,1,1,1
24,1400,-1,1,0,1,1,1,0,0,1,1,0,0
25,1525,-1,1,0,1,0,0,0,0,1,0,0,0
26,1551,-1,0,0,1,0,0,0,0,1,1,0,0
27,1784,-1,0,0,1,0,0,1,0,1,1,0,0
28,1878,-1,1,0,1,1,0,0,1,1,1,1,1
29,1926,-1,0,0,1,0,0,0,0,1,1,0,0
30,1954,-1,0,0,0,0,0,0,0,1,0,0,0
31,1988,-1,0,0,1,0,0,0,1,1,1,0,1
32,2041,-1,1,0,1,1,0,0,0,1,1,0,1
33,2114,-1,1,0,1,1,0,0,0,1,1,0,0
34,2144,-1,1,0,0,1,1,0,1,1,1,0,0
35,2269,-1,1,0,1,1,1,0,0,1,1,0,0
36,2350,-1,1,0,0,1,1,0,0,0,0,0,0
37,2376,-1,1,0,1,1,1,0,0,0,0,0,0
38,2431,-1,1,0,1,1,1,0,0,1,1,0,0
39,2451,-1,1,0,1,0,0,0,0,1,1,0,0
40,2461,-1,0,0,1,1,1,0,1,1,1,1,1
41,2636,-1,0,0,1,0,0,0,0,1,1,0,0
42,2649,-1,1,0,0,1,0,0,0,0,0,0,0
43,2665,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,2677,-1,1,0,0,1,1,0,0,1,0,0,0
45,2691,-1,1,0,1,0,1,1,0,1,1,1,0
46,2772,-1,0,0,0,0,0,0,0,0,0,0,0
47,2852,-1,1,0,1,0,0,0,0,1,1,0,0
48,2918,-1,0,0,0,0,0,0,0,1,0,0,0
49,2929,-1,0,0,1,0,0,0,1,1,1,0,1
50,2942,-1,1,0,0,0,0,0,0,0,1,0,0
51,2984,-1,1,0,1,1,1,1,0,1,1,0,1
52,3026,-1,1,1,0,1,0,-1,0,1,1,0,-1
53,3062,-1,1,0,0,1,1,1,1,1,1,0,0
54,3106,-1,1,0,1,1,1,0,0,1,1,0,1
55,3160,-1,1,0,0,0,0,0,0,1,0,0,0
56,3191,-1,1,0,1,0,0,0,0,1,0,0,0
57,3192,-1,1,0,1,0,0,0,0,1,0,0,0
58,3266,-1,0,0,1,1,0,0,0,1,1,0,0
59,3295,-1,1,0,1,0,0,1,0,1,1,0,0
60,3315,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
61,3317,-1,0,0,1,1,1,0,1,1,1,1,1
62,3361,-1,0,0,1,0,0,0,0,1,1,0,0
63,3368,-1,0,0,0,0,0,0,0,0,0,0,0
64,3452,-1,1,0,1,0,0,0,0,1,0,0,0
65,3477,-1,1,0,1,1,0,0,0,1,1,0,1
66,3544,-1,1,0,1,0,0,0,0,1,0,0,0
67,3565,-1,0,0,0,0,0,0,0,0,0,0,0
68,3578,-1,1,0,1,0,0,0,0,1,0,0,0
69,3604,-1,1,0,1,0,0,0,0,1,1,0,0
70,3617,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
71,3966,-1,1,0,0,1,0,0,0,1,0,0,0
72,4217,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
73,4273,-1,0,0,0,0,0,0,0,0,0,0,0
74,4282,-1,1,0,1,1,0,0,0,1,1,0,0
75,4352,-1,0,0,1,0,0,0,0,1,1,0,0
76,4452,-1,0,0,0,1,0,0,0,1,0,0,0
77,4455,-1,1,0,1,0,0,0,0,1,1,0,0
78,4501,-1,1,0,0,0,0,0,0,0,0,0,0
79,4516,-1,1,0,1,1,1,0,0,1,1,0,0
80,4539,-1,0,0,1,1,1,0,0,1,1,0,0
81,4567,-1,0,0,0,0,0,0,0,0,0,0,0
82,4578,-1,1,0,1,0,0,0,0,1,0,0,0
83,4711,-1,1,0,1,0,0,0,0,1,0,0,0
84,4718,-1,1,0,0,1,1,0,0,1,0,0,0
85,4750,-1,0,0,1,0,0,0,0,1,1,0,0
86,4825,-1,1,0,0,0,0,0,0,1,1,0,0
87,4966,-1,0,0,1,0,0,0,0,1,1,0,0
88,5077,-1,0,0,0,0,0,0,0,0,0,0,0
89,5268,-1,0,0,0,0,0,0,0,1,0,0,0
